DateTime,Temperature,Humidity
2019-06-18 0:56,73,94
2019-06-18 1:56,72,97
2019-06-18 2:56,72,97
2019-06-18 3:35,73,97
2019-06-18 3:56,72,97
2019-06-18 4:05,72,97
2019-06-18 4:56,72,97
2019-06-18 5:56,73,94
2019-06-18 6:56,73,97
2019-06-18 7:56,74,97
2019-06-18 8:56,75,90
2019-06-18 9:56,74,97
2019-06-18 10:56,74,97
2019-06-18 11:56,74,97
2019-06-18 12:56,74,97
2019-06-18 13:56,75,94
2019-06-18 14:56,75,94
2019-06-18 15:56,74,97
2019-06-18 16:56,73,97
2019-06-18 17:56,72,97
2019-06-18 18:56,71,96
2019-06-18 19:56,71,96
2019-06-18 20:56,71,93
2019-06-18 21:56,70,97
2019-06-18 22:56,70,93
2019-06-18 23:56,70,93
2019-06-19 0:56,70,93
2019-06-19 1:56,70,90
2019-06-19 2:56,70,93
2019-06-19 3:56,70,93
2019-06-19 4:56,70,93
2019-06-19 5:56,70,93
2019-06-19 6:56,70,97
2019-06-19 7:56,71,96
2019-06-19 8:56,72,93
2019-06-19 9:56,74,91
2019-06-19 10:56,77,85
2019-06-19 11:56,81,77
2019-06-19 12:56,84,70
2019-06-19 13:56,86,65
2019-06-19 14:56,86,67
2019-06-19 15:56,86,70
2019-06-19 16:56,87,69
2019-06-19 17:56,87,69
2019-06-19 18:56,86,72
2019-06-19 19:56,83,82
2019-06-19 20:56,81,88
2019-06-19 21:56,82,85
2019-06-19 22:56,82,85
2019-06-19 23:56,83,79
2019-06-20 0:56,82,82
2019-06-20 1:56,81,85
2019-06-20 2:56,80,85
2019-06-20 3:56,78,84
2019-06-20 4:56,78,79
2019-06-20 5:56,78,76
2019-06-20 6:56,79,74
2019-06-20 7:56,82,70
2019-06-20 8:56,84,67
2019-06-20 9:56,86,65
2019-06-20 10:56,89,61
2019-06-20 11:56,92,56
2019-06-20 12:56,92,58
2019-06-20 13:56,93,56
2019-06-20 14:56,93,56
2019-06-20 15:56,92,58
2019-06-20 16:56,93,58
2019-06-20 17:56,92,58
2019-06-20 18:56,91,56
2019-06-20 19:56,89,57
2019-06-20 20:56,87,61
2019-06-20 21:56,84,70
2019-06-20 22:56,83,74
2019-06-20 23:56,80,79
2019-06-21 0:56,83,72
2019-06-21 1:56,81,79
2019-06-21 2:56,80,81
2019-06-21 3:56,80,81
2019-06-21 4:56,78,84
2019-06-21 5:56,77,88
2019-06-21 6:56,80,79
2019-06-21 7:56,84,70
2019-06-21 8:56,86,65
2019-06-21 9:56,86,65
2019-06-21 10:56,88,63
2019-06-21 11:56,90,57
2019-06-21 12:56,92,54
2019-06-21 13:56,94,49
2019-06-21 14:56,94,48
2019-06-21 15:56,94,46
2019-06-21 16:56,95,44
2019-06-21 17:56,94,44
2019-06-21 18:56,90,50
2019-06-21 19:56,88,59
2019-06-21 20:56,86,63
2019-06-21 21:56,84,65
2019-06-21 22:56,82,70
2019-06-21 23:56,81,69
2019-06-22 0:56,80,74
2019-06-22 1:56,79,77
2019-06-22 2:56,79,77
2019-06-22 3:56,76,85
2019-06-22 4:56,74,91
2019-06-22 5:56,74,91
2019-06-22 6:56,76,77
2019-06-22 7:56,78,64
2019-06-22 8:56,77,71
2019-06-22 9:56,79,58
2019-06-22 10:56,80,54
2019-06-22 11:56,83,55
2019-06-22 12:56,85,55
2019-06-22 13:56,86,53
2019-06-22 14:56,83,59
2019-06-22 15:14,83,57
2019-06-22 15:38,85,53
2019-06-22 15:56,82,56
2019-06-22 16:5,80,64
2019-06-22 16:37,74,85
2019-06-22 16:56,72,93
2019-06-22 17:10,73,94
2019-06-22 17:56,72,93
2019-06-22 18:56,72,97
2019-06-22 19:39,72,93
2019-06-22 19:56,71,100
2019-06-22 20:56,72,93
2019-06-22 21:56,72,93
2019-06-22 22:56,72,97
2019-06-22 23:16,72,93
2019-06-22 23:56,71,100
2019-06-23 0:56,71,96
2019-06-23 1:56,71,96
2019-06-23 2:56,70,93
2019-06-23 3:56,68,96
2019-06-23 5:07,67,97
2019-06-23 5:42,66,96
2019-06-23 5:56,66,96
2019-06-23 6:56,65,94
2019-06-23 7:56,65,94
2019-06-23 8:56,66,90
2019-06-23 9:56,67,87